,rowid,pl_hostname,pl_letter,pl_discmethod,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,ra_str,ra,dec_str,dec,st_dist,st_disterr1,st_disterr2,st_optmag,st_optband,st_teff,st_tefferr1,st_tefferr2,st_mass,st_masserr1,st_masserr2,st_rad,st_raderr1,st_raderr2,rowupdate
1611,1612,Kepler-1591,b,Transit,1,8.18504949,7.831e-05,-7.831e-05,19h46m04.00s,296.516659,+44d36m31.0s,44.608608000000004,1090.0,344.71,-169.06,14.686,Kepler-band,6082.0,168.06,-232.08,1.1,0.13,-0.1,1.16,0.36,-0.17,2016-05-10
1612,1613,Kepler-1592,b,Transit,1,3.05710069,2.334e-05,-2.334e-05,19h35m24.16s,293.850646,+38d23m51.9s,38.397749,1349.0,605.95,-250.84,14.802999999999999,Kepler-band,6213.0,223.89,-246.35,1.18,0.2,-0.12,1.28,0.57,-0.23,2016-05-10
1613,1614,Kepler-1593,b,Transit,1,174.509835,0.001852,-0.001852,20h01m57.16s,300.48818,+44d27m38.4s,44.46067,755.0,75.81,-60.18,15.873,Kepler-band,4995.0,243.24,-219.42,0.81,0.06,-0.05,0.77,0.07,-0.05,2016-05-10
1614,1615,Kepler-1594,b,Transit,1,2.71603809,1.355e-05,-1.355e-05,19h34m29.54s,293.62309,+47d57m42.9s,47.961914,1100.0,267.41,-118.27,14.800999999999998,Kepler-band,5946.0,94.8,-125.41,1.06,0.07,-0.07,1.08,0.26,-0.11,2016-05-10
1615,1616,Kepler-1595,b,Transit,1,4.56380468,3.24e-05,-3.24e-05,19h02m53.45s,285.722721,+43d00m34.1s,43.009479999999996,841.0,51.37,-48.97,15.448,Kepler-band,5203.0,61.17,-66.07,0.84,0.04,-0.04,0.8,0.05,-0.04,2016-05-10
1616,1617,Kepler-1596,b,Transit,1,66.373379,0.001476,-0.001476,19h02m13.80s,285.557511,+49d19m48.3s,49.330073999999996,1166.0,147.0,-99.76,15.37,Kepler-band,5706.0,76.54,-66.32,0.95,0.05,-0.07,0.92,0.11,-0.07,2016-05-10
1617,1618,Kepler-1597,b,Transit,1,2.94654179,3.471e-05,-3.471e-05,19h12m39.35s,288.163973,+42d28m51.9s,42.481083,1255.0,530.92,-191.54,14.144,Kepler-band,6377.0,131.93,-114.19,1.25,0.2,-0.11,1.39,0.61,-0.21,2016-05-10
1618,1619,Kepler-1598,b,Transit,1,4.34195123,2.827e-05,-2.827e-05,19h13m52.58s,288.469102,+46d47m01.2s,46.78368,734.0,206.14,-75.36,13.874,Kepler-band,5940.0,75.0,-88.75,1.07,0.07,-0.06,1.09,0.31,-0.1,2016-05-10
1619,1620,Kepler-1599,b,Transit,1,122.363553,0.008968,-0.008968,19h04m53.01s,286.220889,+41d09m04.5s,41.151251,1004.0,188.81,-93.88,14.945,Kepler-band,5767.0,97.64,-125.25,0.99,0.06,-0.05,0.99,0.18,-0.09,2016-05-10
1623,1624,Kepler-1600,b,Transit,1,386.370548,0.008591,-0.008591,19h25m35.85s,291.399384,+38d47m15.9s,38.787752000000005,992.0,65.85,-47.97,15.825,Kepler-band,5214.0,66.69,-91.43,0.86,0.04,-0.04,0.82,0.05,-0.04,2016-05-10
1624,1625,Kepler-1601,b,Transit,1,2.20921951,1.51e-05,-1.51e-05,19h02m03.11s,285.512943,+38d04m47.1s,38.079747999999995,660.0,187.97,-73.96,13.764000000000001,Kepler-band,5869.0,90.84,-118.62,1.04,0.07,-0.06,1.07,0.31,-0.12,2016-05-10
1625,1626,Kepler-1602,b,Transit,1,11.17931605,7.504e-05,-7.504e-05,19h34m19.41s,293.58085800000003,+40d25m38.9s,40.427478,815.0,344.41,-137.45,13.352,Kepler-band,6296.0,217.69,-152.7,1.22,0.2,-0.11,1.36,0.58,-0.22,2016-05-10
1626,1627,Kepler-1603,b,Transit,1,2.27163926,2.336e-05,-2.336e-05,19h41m19.16s,295.32984300000004,+42d32m05.9s,42.534966,1751.0,615.69,-253.03,15.332,Kepler-band,6241.0,116.66,-168.54,1.21,0.15,-0.1,1.31,0.48,-0.18,2016-05-10
1627,1628,Kepler-1604,b,Transit,1,0.68368426,6.3e-07,-6.3e-07,19h01m38.55s,285.410633,+44d24m44.0s,44.412212,562.0,25.63,-25.69,14.915,Kepler-band,4976.0,49.62,-51.36,0.81,0.03,-0.04,0.76,0.03,-0.03,2016-05-10
1628,1629,Kepler-1605,b,Transit,1,85.7565495,0.0006161,-0.0006161,19h08m32.37s,287.13489500000003,+47d29m19.0s,47.488621,224.0,15.93,-13.21,12.429,Kepler-band,5280.0,56.11,-59.11,0.86,0.04,-0.04,0.82,0.06,-0.05,2016-05-10
1629,1630,Kepler-1606,b,Transit,1,196.435224,0.003935,-0.003935,19h05m30.78s,286.378264,+43d04m23.7s,43.07325,880.0,77.42,-54.85,15.139000000000001,Kepler-band,5422.0,59.86,-63.5,0.9,0.04,-0.04,0.86,0.08,-0.05,2016-05-10
1630,1631,Kepler-1607,b,Transit,1,13.6473676,0.0002102,-0.0002102,19h44m14.37s,296.059869,+42d39m21.8s,42.656051,735.0,262.0,-114.62,13.897,Kepler-band,6116.0,118.51,-199.25,1.14,0.14,-0.1,1.21,0.43,-0.18,2016-05-10
1631,1632,Kepler-1608,b,Transit,1,16.4735686,0.0001698,-0.0001698,19h42m15.25s,295.563558,+39d25m03.4s,39.417606,832.0,64.98,-81.44,15.889000000000001,Kepler-band,4992.0,119.01,-72.99,0.75,0.05,-0.07,0.72,0.05,-0.07,2016-05-10
1632,1633,Kepler-1609,b,Transit,1,114.34219,0.004097,-0.004097,19h20m35.17s,290.146555,+39d39m57.0s,39.665821,1483.0,584.97,-210.31,15.015,Kepler-band,6132.0,88.96,-146.65,1.18,0.16,-0.09,1.27,0.51,-0.17,2016-05-10
1635,1636,Kepler-1610,b,Transit,1,8.70181574,8.315e-05,-8.315e-05,19h43m37.20s,295.90501,+45d24m19.6s,45.405434,1063.0,109.85,-60.3,15.85,Kepler-band,5383.0,61.72,-82.73,0.91,0.04,-0.04,0.87,0.09,-0.04,2016-05-10
1636,1637,Kepler-1611,b,Transit,1,5.1762429,5.826e-05,-5.826e-05,19h46m02.89s,296.51204900000005,+49d43m40.0s,49.727764,686.0,124.67,-57.69,14.435,Kepler-band,5605.0,89.65,-122.47,0.94,0.04,-0.05,0.93,0.17,-0.07,2016-05-10
1637,1638,Kepler-1612,b,Transit,1,3.91795101,2.727e-05,-2.727e-05,19h25m00.07s,291.250279,+45d39m18.3s,45.655075,837.0,142.52,-70.76,14.75,Kepler-band,5643.0,104.98,-130.31,0.96,0.05,-0.05,0.94,0.16,-0.07,2016-05-10
1638,1639,Kepler-1613,b,Transit,1,1.5184299,0.0001991,-0.0001991,19h19m30.01s,289.875041,+43d25m15.5s,43.420963,855.0,184.65,-99.32,14.118,Kepler-band,6005.0,92.89,-111.57,1.08,0.08,-0.07,1.12,0.24,-0.12,2016-05-10
1639,1640,Kepler-1614,b,Transit,1,3.9466141,3.022e-05,-3.022e-05,18h59m29.12s,284.871334,+49d46m33.3s,49.775913,982.0,65.01,-90.09,15.923,Kepler-band,5121.0,50.38,-46.14,0.79,0.05,-0.06,0.76,0.05,-0.07,2016-05-10
1640,1641,Kepler-1615,b,Transit,1,47.3126192,0.0008593,-0.0008593,19h05m26.21s,286.359226,+42d13m38.9s,42.227478000000005,940.0,218.62,-90.42,14.552999999999999,Kepler-band,5865.0,85.98,-105.58,1.04,0.06,-0.06,1.05,0.24,-0.09,2016-05-10
1641,1642,Kepler-1616,b,Transit,1,6.76284377,6.948e-05,-6.948e-05,19h06m10.47s,286.543637,+45d18m17.5s,45.304874,862.0,392.82,-129.83,13.499,Kepler-band,6266.0,93.46,-92.78,1.21,0.19,-0.1,1.34,0.62,-0.19,2016-05-10
1642,1643,Kepler-1617,b,Transit,1,27.4785572,0.0005078,-0.0005078,19h11m44.93s,287.93721899999997,+46d25m06.6s,46.418490999999996,813.0,253.5,-100.36,13.63,Kepler-band,6167.0,84.79,-77.96,1.15,0.13,-0.08,1.22,0.38,-0.15,2016-05-10
1643,1644,Kepler-1618,b,Transit,1,6.10826019,8.991e-05,-8.991e-05,19h40m42.09s,295.175391,+45d55m51.3s,45.930908,1238.0,494.15,-219.48,13.606,Kepler-band,6620.0,213.78,-143.89,1.41,0.22,-0.15,1.65,0.68,-0.29,2016-05-10
1644,1645,Kepler-1619,b,Transit,1,23.6225913,0.000542,-0.000542,19h02m48.83s,285.70347200000003,+44d25m19.2s,44.422001,520.0,101.2,-49.45,13.341,Kepler-band,5852.0,90.66,-80.99,1.0,0.06,-0.07,1.0,0.19,-0.09,2016-05-10
1647,1648,Kepler-1620,b,Transit,1,101.951829,0.001572,-0.001572,19h49m05.01s,297.270876,+46d55m42.3s,46.928416999999996,773.0,295.96,-120.0,13.658,Kepler-band,6157.0,120.8,-167.55,1.15,0.16,-0.1,1.23,0.48,-0.18,2016-05-10
1648,1649,Kepler-1621,b,Transit,1,92.263714,0.002385,-0.002385,19h50m21.24s,297.588518,+43d50m28.4s,43.841221000000004,1461.0,556.57,-249.39,15.015,Kepler-band,6158.0,276.88,-219.74,1.15,0.2,-0.11,1.24,0.46,-0.2,2016-05-10
1649,1650,Kepler-1622,b,Transit,1,10.8118737,0.0001009,-0.0001009,19h49m18.94s,297.32891,+47d48m55.7s,47.815472,927.0,412.54,-159.49,13.385,Kepler-band,6436.0,154.47,-172.76,1.31,0.22,-0.13,1.5,0.69,-0.26,2016-05-10
1650,1651,Kepler-1623,b,Transit,1,4.36128348,2.698e-05,-2.698e-05,19h36m19.85s,294.082695,+39d33m22.0s,39.556103,986.0,231.76,-112.28,14.950999999999999,Kepler-band,5772.0,140.28,-187.15,1.0,0.07,-0.07,1.0,0.23,-0.11,2016-05-10
1651,1652,Kepler-1624,b,Transit,1,3.29030452,4.56e-06,-4.56e-06,19h30m19.17s,292.57986,+37d22m35.1s,37.376411,199.0,18.63,-20.75,15.669,Kepler-band,3636.0,58.98,-53.35,0.5,0.03,-0.04,0.47,0.03,-0.04,2016-05-10
1652,1653,Kepler-1625,b,Transit,1,287.378949,0.002983,-0.002983,19h41m43.04s,295.429347,+39d53m11.6s,39.886547,1213.0,178.13,-113.19,15.755999999999998,Kepler-band,5677.0,107.4,-162.14,0.96,0.06,-0.06,0.94,0.13,-0.08,2016-05-10
1653,1654,Kepler-1626,b,Transit,1,4.13962966,2.851e-05,-2.851e-05,19h46m00.11s,296.500445,+40d43m16.4s,40.72123,1718.0,551.12,-369.5,14.275,Kepler-band,6826.0,286.4,-316.8,1.51,0.21,-0.2,1.85,0.6,-0.39,2016-05-10
1654,1655,Kepler-1627,b,Transit,1,7.20283653,8.773e-05,-8.773e-05,18h56m13.60s,284.05668399999996,+41d34m36.2s,41.576733000000004,311.0,33.55,-25.37,13.027999999999999,Kepler-band,5445.0,93.89,-121.15,0.87,0.05,-0.06,0.84,0.09,-0.07,2016-05-10
1655,1656,Kepler-1628,b,Transit,1,76.378033,0.001833,-0.001833,18h46m32.09s,281.6337,+43d24m41.7s,43.411578999999996,352.0,41.23,-27.3,16.595,Kepler-band,3724.0,65.64,-48.58,0.55,0.04,-0.03,0.52,0.04,-0.03,2016-05-10
1656,1657,Kepler-1629,b,Transit,1,3.87595807,2.379e-05,-2.379e-05,18h40m49.59s,280.206621,+43d46m27.5s,43.774297,390.0,71.67,-33.62,12.75,Kepler-band,5776.0,68.39,-74.65,1.01,0.05,-0.05,1.01,0.19,-0.08,2016-05-10
1659,1660,Kepler-1630,b,Transit,1,509.997402,0.003256,-0.003256,19h50m01.99s,297.508294,+43d42m39.4s,43.710953,278.0,24.77,-12.17,14.15,Kepler-band,4736.0,97.3,-64.28,0.66,0.05,-0.03,0.63,0.05,-0.02,2016-05-10
1660,1661,Kepler-1631,b,Transit,1,4.09513932,3.048e-05,-3.048e-05,19h38m31.82s,294.63257000000004,+43d48m27.6s,43.807671,1190.0,166.29,-107.49,15.524000000000001,Kepler-band,5679.0,101.54,-148.91,0.97,0.05,-0.06,0.95,0.13,-0.08,2016-05-10
1661,1662,Kepler-1632,b,Transit,1,448.303558,0.004164,-0.004164,19h37m58.77s,294.49485899999996,+43d54m49.0s,43.91362,584.0,198.11,-88.4,13.093,Kepler-band,6137.0,159.61,-176.47,1.12,0.14,-0.1,1.19,0.4,-0.17,2016-05-10
1662,1663,Kepler-1633,b,Transit,1,186.404271,0.005886,-0.005886,19h14m03.65s,288.515202,+44d55m23.6s,44.923225,811.0,325.02,-119.04,13.435,Kepler-band,6256.0,119.67,-118.36,1.2,0.17,-0.09,1.32,0.54,-0.18,2016-05-10
1663,1664,Kepler-1634,b,Transit,1,374.876239,0.007107,-0.007107,19h36m10.42s,294.043409,+45d08m23.2s,45.139786,654.0,75.11,-51.46,14.508,Kepler-band,5474.0,149.64,-144.37,0.92,0.05,-0.05,0.89,0.1,-0.06,2016-05-10
1664,1665,Kepler-1635,b,Transit,1,469.63111,0.01246,-0.01246,19h01m23.76s,285.348993,+45d33m22.3s,45.556183000000004,1084.0,97.27,-62.41,15.696,Kepler-band,5347.0,51.14,-53.97,0.89,0.04,-0.04,0.85,0.08,-0.04,2016-05-10
1665,1666,Kepler-1636,b,Transit,1,425.47785,0.01122,-0.01122,19h36m13.83s,294.057625,+46d26m27.7s,46.441031,1567.0,361.75,-174.46,15.807,Kepler-band,5797.0,171.84,-166.58,1.01,0.08,-0.06,1.02,0.23,-0.11,2016-05-10
1666,1667,Kepler-1637,b,Transit,1,6.10960324,6.485e-05,-6.485e-05,18h48m56.84s,282.236848,+48d09m15.5s,48.154297,506.0,101.01,-44.92,13.328,Kepler-band,5789.0,79.58,-94.94,1.02,0.06,-0.05,1.02,0.2,-0.09,2016-05-10
1667,1668,Kepler-1638,b,Transit,1,259.33683,0.01303,-0.01303,19h41m55.78s,295.48240699999997,+48d31m28.0s,48.524445,879.0,149.76,-76.78,14.759,Kepler-band,5710.0,96.7,-111.43,0.97,0.05,-0.06,0.95,0.17,-0.08,2016-05-10
1668,1669,Kepler-1639,b,Transit,1,9.878482,0.002171,-0.002171,18h52m16.47s,283.068632,+48d48m07.5s,48.802085999999996,1168.0,340.29,-141.94,14.495999999999999,Kepler-band,6150.0,91.49,-82.94,1.12,0.11,-0.08,1.18,0.34,-0.14,2016-05-10
1672,1673,Kepler-1640,b,Transit,1,7.5844126,0.0003866,-0.0003866,19h38m13.89s,294.55789,+40d51m01.8s,40.850497999999995,1379.0,610.91,-209.88,14.624,Kepler-band,6324.0,102.05,-142.31,1.27,0.21,-0.1,1.43,0.65,-0.21,2016-05-10
1673,1674,Kepler-1641,b,Transit,2,19.672266,0.00111,-0.00111,19h45m26.27s,296.35944,+41d34m28.3s,41.574532,961.0,325.32,-166.05,14.263,Kepler-band,6152.0,173.97,-233.57,1.12,0.16,-0.12,1.19,0.4,-0.19,2016-05-10
1674,1675,Kepler-1641,c,Transit,2,32.657212,0.003099,-0.003099,19h45m26.27s,296.35944,+41d34m28.3s,41.574532,961.0,325.32,-166.05,14.263,Kepler-band,6152.0,173.97,-233.57,1.12,0.16,-0.12,1.19,0.4,-0.19,2016-05-10
1675,1676,Kepler-1642,b,Transit,2,12.2057513,0.0005101,-0.0005101,19h48m50.92s,297.21216,+43d38m37.4s,43.643719,447.0,49.12,-35.29,14.13,Kepler-band,5355.0,178.89,-191.86,0.88,0.06,-0.05,0.84,0.09,-0.06,2016-05-10
1676,1677,Kepler-1642,c,Transit,2,6.6513802,0.0003227,-0.0003227,19h48m50.92s,297.21216,+43d38m37.4s,43.643719,447.0,49.12,-35.29,14.13,Kepler-band,5355.0,178.89,-191.86,0.88,0.06,-0.05,0.84,0.09,-0.06,2016-05-10
1677,1678,Kepler-1643,b,Transit,1,5.34264507,2.177e-05,-2.177e-05,20h01m43.44s,300.431,+44d45m03.6s,44.751011,414.0,40.81,-25.58,13.116,Kepler-band,5508.0,58.66,-48.8,0.92,0.04,-0.05,0.88,0.09,-0.05,2016-05-10
1678,1679,Kepler-1644,b,Transit,1,21.0907758,0.0001114,-0.0001114,19h01m54.01s,285.475055,+48d02m05.8s,48.034935,592.0,61.31,-45.49,14.222999999999999,Kepler-band,5499.0,66.43,-63.1,0.89,0.05,-0.05,0.86,0.09,-0.06,2016-05-10
1679,1680,Kepler-1645,b,Transit,1,16.1779561,0.0001069,-0.0001069,19h49m55.07s,297.479473,+48d25m06.9s,48.418571,844.0,205.04,-89.78,14.472000000000001,Kepler-band,5812.0,119.73,-151.42,1.02,0.06,-0.06,1.02,0.24,-0.1,2016-05-10
1680,1681,Kepler-1646,b,Transit,1,4.48558383,1.05e-05,-1.05e-05,19h10m06.34s,287.526422,+42d54m46.5s,42.912908,81.0,18.75,-16.91,15.737,Kepler-band,3299.0,36.22,-41.07,0.24,0.06,-0.06,0.26,0.05,-0.05,2016-05-10
1687,1688,Kepler-167,b,Transit,4,4.3931632,4.6e-06,-4.5e-06,19h30m38.03s,292.65844100000004,+38d20m43.5s,38.345413,330.0,10.0,-10.0,14.023,Kepler-band,4890.0,50.0,-50.0,0.77,0.02,-0.03,0.73,0.02,-0.01,2016-03-10
1688,1689,Kepler-167,c,Transit,4,7.406114,1.2e-05,-1.1e-05,19h30m38.03s,292.65844100000004,+38d20m43.5s,38.345413,330.0,10.0,-10.0,14.023,Kepler-band,4890.0,50.0,-50.0,0.77,0.02,-0.03,0.73,0.02,-0.01,2016-03-10
1689,1690,Kepler-167,d,Transit,4,21.803855,7.8e-05,-0.000119,19h30m38.03s,292.65844100000004,+38d20m43.5s,38.345413,330.0,10.0,-10.0,14.023,Kepler-band,4890.0,50.0,-50.0,0.77,0.02,-0.03,0.73,0.02,-0.01,2016-03-10
1690,1691,Kepler-167,e,Transit,4,1071.23228,0.00056,-0.00056,19h30m38.03s,292.65844100000004,+38d20m43.5s,38.345413,330.0,10.0,-10.0,14.023,Kepler-band,4890.0,50.0,-50.0,0.77,0.02,-0.03,0.73,0.02,-0.01,2016-03-10
1698,1699,Kepler-17,b,Transit,1,1.4857108,2e-07,-2e-07,19h53m34.87s,298.39527400000003,+47d48m54.0s,47.815006,800.0,100.0,-100.0,14.140999999999998,Kepler-band,5781.0,85.0,-85.0,1.16,0.06,-0.06,1.05,0.03,-0.03,2014-05-14
1742,1743,Kepler-186,b,Transit,5,3.8867907,6.2e-06,-6.3e-06,19h54m36.65s,298.652714,+43d57m18.1s,43.955017,172.0,13.0,-10.0,14.625,Kepler-band,3755.0,90.0,-90.0,0.54,0.02,-0.02,0.52,0.02,-0.02,2014-05-14
1743,1744,Kepler-186,c,Transit,5,7.267302,1.2e-05,-1.1e-05,19h54m36.65s,298.652714,+43d57m18.1s,43.955017,172.0,13.0,-10.0,14.625,Kepler-band,3755.0,90.0,-90.0,0.54,0.02,-0.02,0.52,0.02,-0.02,2014-05-14
1744,1745,Kepler-186,d,Transit,5,13.342996,2.5e-05,-2.4e-05,19h54m36.65s,298.652714,+43d57m18.1s,43.955017,172.0,13.0,-10.0,14.625,Kepler-band,3755.0,90.0,-90.0,0.54,0.02,-0.02,0.52,0.02,-0.02,2014-05-14
1745,1746,Kepler-186,e,Transit,5,22.407704,7.4e-05,-7.2e-05,19h54m36.65s,298.652714,+43d57m18.1s,43.955017,172.0,13.0,-10.0,14.625,Kepler-band,3755.0,90.0,-90.0,0.54,0.02,-0.02,0.52,0.02,-0.02,2014-05-14
1746,1747,Kepler-186,f,Transit,5,129.9441,0.0013,-0.0012,19h54m36.65s,298.652714,+43d57m18.1s,43.955017,172.0,13.0,-10.0,14.625,Kepler-band,3755.0,90.0,-90.0,0.54,0.02,-0.02,0.52,0.02,-0.02,2015-01-14
1781,1782,Kepler-20,b,Transit,5,3.6961219,4.3e-06,-6.4e-06,19h10m47.52s,287.698004,+42d20m19.4s,42.338726,290.0,30.0,-30.0,12.498,Kepler-band,5455.0,100.0,-100.0,0.91,0.03,-0.03,0.94,0.06,-0.1,2014-05-14
1782,1783,Kepler-20,c,Transit,5,10.854092,1.3e-05,-1.3e-05,19h10m47.52s,287.698004,+42d20m19.4s,42.338726,290.0,30.0,-30.0,12.498,Kepler-band,5455.0,100.0,-100.0,0.91,0.03,-0.03,0.94,0.06,-0.1,2014-05-14
1783,1784,Kepler-20,d,Transit,5,77.61184,0.00015,-0.00037,19h10m47.52s,287.698004,+42d20m19.4s,42.338726,290.0,30.0,-30.0,12.498,Kepler-band,5455.0,100.0,-100.0,0.91,0.03,-0.03,0.94,0.06,-0.1,2014-05-14
1784,1785,Kepler-20,e,Transit,5,6.098493,6.5e-05,-6.5e-05,19h10m47.52s,287.698004,+42d20m19.4s,42.338726,290.0,30.0,-30.0,12.498,Kepler-band,5455.0,100.0,-100.0,0.91,0.03,-0.03,0.94,0.06,-0.1,2014-05-14
1785,1786,Kepler-20,f,Transit,5,19.57706,0.00052,-0.00052,19h10m47.52s,287.698004,+42d20m19.4s,42.338726,290.0,30.0,-30.0,12.498,Kepler-band,5455.0,100.0,-100.0,0.91,0.03,-0.03,0.94,0.06,-0.1,2014-05-14
1811,1812,Kepler-21,b,Transit,1,2.785755,3.1e-05,-3.4e-05,19h09m26.84s,287.36181600000003,+38d42m50.5s,38.714016,108.0,10.0,-10.0,8.25,V (Johnson),6131.0,44.0,-44.0,1.34,0.01,-0.01,1.86,0.02,-0.02,2014-05-14
2038,2039,Kepler-289,b,Transit,3,34.545,0.0005,-0.0005,19h49m51.68s,297.465344,+42d52m58.3s,42.88285,700.0,14.0,-14.0,13.956,Kepler-band,5990.0,38.0,-38.0,1.08,0.02,-0.02,1.0,0.02,-0.02,2014-11-19
2039,2040,Kepler-289,c,Transit,3,125.8518,0.0076,-0.0076,19h49m51.68s,297.465344,+42d52m58.3s,42.88285,700.0,14.0,-14.0,13.956,Kepler-band,5990.0,38.0,-38.0,1.08,0.02,-0.02,1.0,0.02,-0.02,2014-11-19
2040,2041,Kepler-289,d,Transit,3,66.0634,0.0114,-0.0114,19h49m51.68s,297.465344,+42d52m58.3s,42.88285,700.0,14.0,-14.0,13.956,Kepler-band,5990.0,38.0,-38.0,1.08,0.02,-0.02,1.0,0.02,-0.02,2014-11-19
2059,2060,Kepler-296,b,Transit,5,10.864384,5.1e-05,-4.6e-05,19h06m09.60s,286.540008,+49d26m14.4s,49.437326,226.0,28.0,-18.0,15.921,Kepler-band,3740.0,130.0,-130.0,0.5,0.07,-0.09,0.48,0.07,-0.09,2015-09-03
2060,2061,Kepler-296,c,Transit,5,5.8416366,1e-05,-1e-05,19h06m09.60s,286.540008,+49d26m14.4s,49.437326,226.0,28.0,-18.0,15.921,Kepler-band,3740.0,130.0,-130.0,0.5,0.07,-0.09,0.48,0.07,-0.09,2015-09-03
2061,2062,Kepler-296,d,Transit,5,19.850291,6.1e-05,-5.7e-05,19h06m09.60s,286.540008,+49d26m14.4s,49.437326,226.0,28.0,-18.0,15.921,Kepler-band,3740.0,130.0,-130.0,0.5,0.07,-0.09,0.48,0.07,-0.09,2015-09-03
2062,2063,Kepler-296,e,Transit,5,34.14211,0.00025,-0.00025,19h06m09.60s,286.540008,+49d26m14.4s,49.437326,226.0,28.0,-18.0,15.921,Kepler-band,3740.0,130.0,-130.0,0.5,0.07,-0.09,0.48,0.07,-0.09,2015-09-03
2063,2064,Kepler-296,f,Transit,5,63.33627,0.0006,-0.00062,19h06m09.60s,286.540008,+49d26m14.4s,49.437326,226.0,28.0,-18.0,15.921,Kepler-band,3740.0,130.0,-130.0,0.5,0.07,-0.09,0.48,0.07,-0.09,2015-09-03
2127,2128,Kepler-32,b,Transit,5,5.90124,0.0001,-0.0001,19h51m22.18s,297.842398,+46d34m27.4s,46.574281,303.0,14.0,-14.0,16.452,V (Johnson),3900.0,200.0,-200.0,0.58,0.05,-0.05,0.53,0.04,-0.04,2016-03-24
2128,2129,Kepler-32,c,Transit,5,8.7522,0.0003,-0.0003,19h51m22.18s,297.842398,+46d34m27.4s,46.574281,303.0,14.0,-14.0,16.452,V (Johnson),3900.0,200.0,-200.0,0.58,0.05,-0.05,0.53,0.04,-0.04,2016-03-24
2129,2130,Kepler-32,d,Transit,5,22.7802,0.0005,-0.0005,19h51m22.18s,297.842398,+46d34m27.4s,46.574281,303.0,14.0,-14.0,16.452,V (Johnson),3900.0,200.0,-200.0,0.58,0.05,-0.05,0.53,0.04,-0.04,2016-03-24
2130,2131,Kepler-32,e,Transit,5,2.896,0.0003,-0.0003,19h51m22.18s,297.842398,+46d34m27.4s,46.574281,303.0,14.0,-14.0,16.452,V (Johnson),3900.0,200.0,-200.0,0.58,0.05,-0.05,0.53,0.04,-0.04,2016-03-24
2131,2132,Kepler-32,f,Transit,5,0.74296,7e-05,-7e-05,19h51m22.18s,297.842398,+46d34m27.4s,46.574281,303.0,14.0,-14.0,16.452,V (Johnson),3900.0,200.0,-200.0,0.58,0.05,-0.05,0.53,0.04,-0.04,2016-03-24
2187,2188,Kepler-34,b,Transit,1,288.822,0.063,-0.081,19h45m44.60s,296.435821,+44d38m29.6s,44.64156,1499.0,33.0,-33.0,14.875,Kepler-band,5913.0,130.0,-130.0,1.05,0.0,0.0,1.16,0.0,0.0,2014-05-14
2212,2213,Kepler-35,b,Transit,1,131.458,0.077,-0.105,19h37m59.27s,294.49697799999996,+46d41m23.1s,46.689762,1645.0,43.0,-43.0,15.725999999999999,Kepler-band,5606.0,150.0,-150.0,0.89,0.01,-0.01,1.03,0.0,0.0,2014-05-14
2308,2309,Kepler-39,b,Transit,1,21.08721,3.7e-05,-3.7e-05,19h47m50.46s,296.960265,+46d02m03.5s,46.034298,1200.0,250.0,-250.0,14.46,V (Johnson),6350.0,100.0,-100.0,1.29,0.06,-0.07,1.4,0.1,-0.1,2015-01-29
2331,2332,Kepler-4,b,Transit,1,3.21346,0.00022,-0.00022,19h02m27.68s,285.61532200000005,+50d08m08.7s,50.135754,550.0,80.0,-80.0,12.7,V (Johnson),5857.0,120.0,-120.0,1.22,0.05,-0.09,1.49,0.07,-0.08,2014-05-14
2332,2333,Kepler-40,b,Transit,1,6.87349,0.00064,-0.00064,19h47m15.29s,296.81369,+47d31m35.8s,47.526608,2700.0,200.0,-200.0,14.588,Kepler-band,6510.0,100.0,-100.0,1.48,0.06,-0.06,2.13,0.06,-0.06,2014-05-14
2355,2356,Kepler-41,b,Transit,1,1.8555582,5.2e-07,-5.2e-07,19h38m03.17s,294.513229,+45d58m53.9s,45.981644,770.0,100.0,-100.0,14.465,Kepler-band,5750.0,100.0,-100.0,1.15,0.04,-0.04,1.29,0.02,-0.02,2015-01-29
2356,2357,Kepler-410 A,b,Transit,1,17.833648,5.4e-05,-5.4e-05,18h52m36.17s,283.150698,+45d08m23.4s,45.139832,132.0,6.9,-6.9,9.363999999999999,Kepler-band,6273.0,140.0,-140.0,1.21,0.03,-0.03,1.35,0.01,-0.01,2014-05-14
2359,2360,Kepler-412,b,Transit,1,1.7208604,3e-07,-3e-07,19h04m26.48s,286.110327,+43d40m51.4s,43.680958000000004,1056.0,36.0,-36.0,13.73,V (Johnson),5750.0,90.0,-90.0,1.17,0.09,-0.09,1.29,0.04,-0.04,2015-10-15
2372,2373,Kepler-42,b,Transit,3,1.2137672,4.6e-06,-4.6e-06,19h28m52.57s,292.219033,+44d37m09.0s,44.61916,38.7,6.3,-6.3,16.124000000000002,V (Johnson),3068.0,174.0,-174.0,0.13,0.05,-0.05,0.17,0.04,-0.04,2014-05-14
2373,2374,Kepler-42,c,Transit,3,0.45328509,9.7e-07,-9.7e-07,19h28m52.57s,292.219033,+44d37m09.0s,44.61916,38.7,6.3,-6.3,16.124000000000002,V (Johnson),3068.0,174.0,-174.0,0.13,0.05,-0.05,0.17,0.04,-0.04,2014-05-14
