,rowid,pl_hostname,pl_letter,pl_discmethod,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,ra_str,ra,dec_str,dec,st_dist,st_disterr1,st_disterr2,st_optmag,st_optband,st_teff,st_tefferr1,st_tefferr2,st_mass,st_masserr1,st_masserr2,st_rad,st_raderr1,st_raderr2,rowupdate
140,141,HAT-P-11,b,Transit,1,4.8878162,7.1e-06,-7.1e-06,19h50m50.24s,297.70935099999997,+48d04m51.1s,48.080856,38.0,1.3,-1.3,9.472000000000001,V (Johnson),4780.0,50.0,-50.0,0.81,0.02,-0.03,0.75,0.02,-0.02,2014-05-14
141,142,HAT-P-12,b,Transit,1,3.2130598,2.1e-06,-2.1e-06,13h57m33.48s,209.389489,+43d29m36.7s,43.493534000000004,142.5,4.2,-3.3,12.84,V (Johnson),4650.0,60.0,-60.0,0.73,0.02,-0.02,0.7,0.02,-0.01,2014-05-14
142,143,HAT-P-13,b,Transit,2,2.91625,1.5e-05,-1.5e-05,08h39m31.81s,129.88253600000002,+47d21m07.4s,47.352051,214.0,12.0,-12.0,10.622,V (Johnson),5653.0,90.0,-90.0,1.22,0.05,-0.1,1.56,0.08,-0.08,2014-10-15
143,144,HAT-P-13,c,Radial Velocity,2,446.27,0.22,-0.22,08h39m31.81s,129.88253600000002,+47d21m07.4s,47.352051,214.0,12.0,-12.0,10.622,V (Johnson),5653.0,90.0,-90.0,1.22,0.05,-0.1,1.56,0.08,-0.08,2014-05-16
144,145,HAT-P-14,b,Transit,1,4.627669,5e-06,-5e-06,17h20m27.88s,260.116169,+38d14m31.8s,38.242165,205.0,11.0,-11.0,9.98,V (Johnson),6600.0,90.0,-90.0,1.39,0.04,-0.04,1.47,0.05,-0.05,2014-05-14
145,146,HAT-P-15,b,Transit,1,10.863502,2.7e-05,-2.7e-05,04h24m59.53s,66.248026,+39d27m38.3s,39.460636,190.0,8.0,-8.0,12.16,V (Johnson),5568.0,90.0,-90.0,1.01,0.04,-0.04,1.08,0.04,-0.04,2014-05-14
146,147,HAT-P-16,b,Transit,1,2.77596,3e-06,-3e-06,00h38m17.56s,9.573181,+42d27m47.1s,42.463078,235.0,10.0,-10.0,10.812000000000001,V (Johnson),6158.0,80.0,-80.0,1.22,0.04,-0.04,1.24,0.05,-0.05,2014-05-14
147,148,HAT-P-17,b,Transit,2,10.338523,9e-06,-9e-06,21h38m08.74s,324.53639599999997,+30d29m19.4s,30.488715999999997,90.0,3.0,-3.0,10.54,V (Johnson),5246.0,80.0,-80.0,0.86,0.04,-0.04,0.84,0.02,-0.02,2014-05-14
148,149,HAT-P-17,c,Radial Velocity,2,5584.0,7700.0,-2100.0,21h38m08.74s,324.53639599999997,+30d29m19.4s,30.488715999999997,90.0,3.0,-3.0,10.54,V (Johnson),5246.0,80.0,-80.0,0.86,0.04,-0.04,0.84,0.02,-0.02,2014-05-14
149,150,HAT-P-18,b,Transit,1,5.508023,6e-06,-6e-06,17h05m23.15s,256.346473,+33d00m45.0s,33.012512,166.0,9.0,-9.0,12.759,V (Johnson),4803.0,80.0,-80.0,0.77,0.03,-0.03,0.75,0.04,-0.04,2014-05-14
150,151,HAT-P-19,b,Transit,1,4.008778,6e-06,-6e-06,00h38m04.02s,9.516742,+34d42m41.7s,34.711575,215.0,15.0,-15.0,12.901,V (Johnson),4990.0,130.0,-130.0,0.84,0.04,-0.04,0.82,0.05,-0.05,2014-05-14
152,153,HAT-P-20,b,Transit,1,2.875317,4e-06,-4e-06,07h27m39.95s,111.91646899999999,+24d20m11.9s,24.33663,70.0,3.0,-3.0,11.339,V (Johnson),4595.0,80.0,-80.0,0.76,0.03,-0.03,0.69,0.02,-0.02,2014-05-14
153,154,HAT-P-21,b,Transit,1,4.124481,7e-06,-7e-06,11h25m05.99s,171.274955,+41d01m40.6s,41.027954,254.0,19.0,-19.0,11.685,V (Johnson),5588.0,80.0,-80.0,0.95,0.04,-0.04,1.1,0.08,-0.08,2014-05-14
154,155,HAT-P-22,b,Transit,1,3.21222,9e-06,-9e-06,10h22m43.61s,155.681719,+50d07m42.0s,50.128345,82.0,3.0,-3.0,9.732000000000001,V (Johnson),5302.0,80.0,-80.0,0.92,0.04,-0.04,1.04,0.04,-0.04,2014-05-14
156,157,HAT-P-24,b,Transit,1,3.35524,7e-06,-7e-06,07h15m18.01s,108.82505800000001,+14d15m45.4s,14.262599,396.0,20.0,-20.0,11.818,V (Johnson),6373.0,80.0,-80.0,1.19,0.04,-0.04,1.32,0.07,-0.07,2014-05-14
157,158,HAT-P-25,b,Transit,1,3.652836,1.9e-05,-1.9e-05,03h13m44.50s,48.435419,+25d11m50.7s,25.197405,297.0,17.0,-13.0,13.19,V (Johnson),5500.0,80.0,-80.0,1.01,0.03,-0.03,0.96,0.05,-0.04,2014-05-14
158,159,HAT-P-26,b,Transit,1,4.234516,1.5e-05,-1.5e-05,14h12m37.53s,213.156383,+04d03m36.0s,4.059997,134.0,18.0,-8.0,11.744000000000002,V (Johnson),5079.0,88.0,-88.0,0.82,0.03,-0.03,0.79,0.1,-0.04,2014-05-14
160,161,HAT-P-28,b,Transit,1,3.257215,7e-06,-7e-06,00h52m00.18s,13.000766,+34d43m42.3s,34.728413,395.0,34.0,-26.0,13.03,V (Johnson),5680.0,90.0,-90.0,1.02,0.05,-0.05,1.1,0.09,-0.07,2014-05-14
161,162,HAT-P-29,b,Transit,1,5.723186,4.9e-05,-4.9e-05,02h12m31.47s,33.131142,+51d46m43.5s,51.778759,322.0,35.0,-21.0,11.9,V (Johnson),6087.0,88.0,-88.0,1.21,0.05,-0.05,1.22,0.13,-0.07,2014-05-14
162,163,HAT-P-3,b,Transit,1,2.899736,2e-06,-2e-06,13h44m22.59s,206.094121,+48d01m43.2s,48.028667,138.0,10.0,-10.0,11.577,V (Johnson),5185.0,80.0,-80.0,0.92,0.03,-0.03,0.8,0.04,-0.04,2014-05-14
163,164,HAT-P-30,b,Transit,1,2.810595,5e-06,-5e-06,08h15m47.97s,123.949894,+05d50m12.2s,5.836719,193.0,8.0,-8.0,10.419,V (Johnson),6304.0,88.0,-88.0,1.24,0.04,-0.04,1.22,0.05,-0.05,2014-05-14
176,177,HAT-P-42,b,Transit,1,4.641878,3.2e-05,-3.2e-05,09h01m22.65s,135.344391,+06d05m50.0s,6.097230000000001,447.0,41.0,-41.0,12.168,V (Johnson),5743.0,50.0,-50.0,1.18,0.07,-0.07,1.53,0.14,-0.14,2014-05-14
177,178,HAT-P-43,b,Transit,1,3.332687,1.5e-05,-1.5e-05,08h35m42.18s,128.925737,+10d12m24.0s,10.206653,542.0,22.0,-16.0,13.356,V (Johnson),5645.0,74.0,-74.0,1.05,0.03,-0.04,1.1,0.04,-0.02,2014-05-14
182,183,HAT-P-49,b,Transit,1,2.691548,6e-06,-6e-06,20h21m45.94s,305.441397,+26d41m33.5s,26.692652000000002,322.0,24.0,-13.0,10.325999999999999,V (Johnson),6820.0,52.0,-52.0,1.54,0.05,-0.05,1.83,0.14,-0.08,2014-05-14
183,184,HAT-P-5,b,Transit,1,2.788491,2.5e-05,-2.5e-05,18h17m37.31s,274.40547599999996,+36d37m17.1s,36.62141,340.0,30.0,-30.0,12.0,V (Johnson),5960.0,100.0,-100.0,1.16,0.06,-0.06,1.17,0.05,-0.05,2014-05-14
184,185,HAT-P-50,b,Transit,1,3.1220109,6.5e-06,-6.5e-06,07h52m15.22s,118.06341100000002,+12d08m21.9s,12.13941,497.0,21.0,-21.0,11.762,V (Johnson),6280.0,49.0,-49.0,1.27,0.05,-0.12,1.7,0.07,-0.07,2015-11-19
