,row_id,pl_name,pl_discmethod,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,ra_str,ra,dec_str,dec,st_dist,st_disterr1,st_disterr2,st_optmag,st_optband,st_teff,st_tefferr1,st_tefferr2,st_mass,st_masserr1,st_masserr2,st_rad,st_raderr1,st_raderr2
3138,3139,MOA 2010-BLG-477L b,Microlensing,1,0.00017882742725079076,499.6563636,-374.2927273,18h06m07.44s,271.531006,-31d27m16.1s,-31.454477,0.27031267102046774,600.0,-600.0,0.5058549222797927,Kepler-band,5950.0,150.0,-34.63666667,0.1675257731958763,0.33,-0.205,13.64111111,0.447222222,-0.58
3139,3140,MOA 2011-BLG-028L b,Microlensing,1,0.00015566067723690448,428.3204545,-320.8659091,18h03m24.96s,270.85400000000004,-29d12m48.3s,-29.213417,0.8681855147649876,520.0,-620.0,0.4998371575129534,Kepler-band,5712.0,129.8571429,-30.97428571,0.18814432989690724,0.35,-0.3,14.80666667,0.483333333,-0.597142857
3140,3141,MOA 2011-BLG-262L b,Microlensing,1,0.00013249392730520993,356.9845455,-267.4390909,18h00m23.48s,270.097833,-31d14m42.9s,-31.245258000000003,0.8234627429888228,900.0,-1000.0,0.4938193932642487,Kepler-band,5474.0,109.7142857,-27.31190476,0.02577319587628866,0.19,-0.06,15.97222222,0.519444444,-0.614285714
3141,3142,MOA 2011-BLG-293L b,Microlensing,1,0.00010932717733241955,285.6486364,-214.01227269999998,17h55m39.35s,268.913958,-28d28m36.6s,-28.476846999999996,0.9082006263541877,440.0,-440.0,0.4878016284974093,Kepler-band,5236.0,89.57142857,-23.64952381,0.21649484536082475,0.06,-0.06,17.13777778,0.5555555560000001,-0.631428571
3142,3143,MOA 2011-BLG-322L b,Microlensing,1,8.616042735962915e-05,214.3127273,-160.5854545,18h04m53.60s,271.223333,-27d13m15.4s,-27.220944,0.8893699856063289,910.0,-910.0,0.48178386373057,Kepler-band,4998.0,69.42857143,-19.98714286,0.09536082474226806,0.45,-0.19,18.30333333,0.591666667,-0.648571429
3143,3144,MOA 2013-BLG-605L b,Microlensing,1,6.299367738683874e-05,142.97681819999997,-107.1586364,17h58m42.85s,269.678542,-29d23m53.7s,-29.398239,0.7446094348571637,1055.0,-1405.0,0.4757660989637306,Kepler-band,4760.0,49.28571429,-16.324761900000002,0.0025773195876288655,0.01,0.0,19.46888889,0.627777778,-0.665714286
3144,3145,MOA-bin-1L b,Microlensing,1,3.98269274003497e-05,71.64090909,-53.73181818,17h27m10.20s,261.7925,-29d47m38.3s,-29.793971999999997,0.5998488841079984,1200.0,-1900.0,0.4697483345595855,Kepler-band,4522.0,29.14285714,-12.66238095,0.18814432989690724,0.33,-0.41,20.63444444,0.663888889,-0.682857143
3145,3146,NGC 2682 Sand 364 b,Radial Velocity,1,1.6660177427559298e-05,0.305,-0.305,08h49m56.82s,132.48676,+11d41m32.9s,11.692484,0.5315878113970098,1133.333333,-1766.6666670000002,0.46373056994818657,V (Johnson),4284.0,9.0,-9.0,0.34278350515463923,0.05,-0.05,21.8,0.7,-0.7
3146,3147,NGC 2682 YBP 1194 b,Radial Velocity,1,9.408621637454954e-07,0.001,-0.001,08h51m00.81s,132.75336399999998,+11d48m52.8s,11.814655,0.46332673868602137,1066.666667,-1633.333333,0.7124352331606217,V (Johnson),5780.0,27.0,-27.0,0.25515463917525777,0.02,-0.02,21.11866667,0.679666667,-0.6829411759999999
3147,3148,NGC 2682 YBP 1514 b,Radial Velocity,1,6.886703797899638e-07,0.001,-0.001,08h51m00.77s,132.75319299999998,+11d53m11.5s,11.88653,0.3950656659750329,1000.0,-1500.0,0.7212435233160621,V (Johnson),5725.0,45.0,-45.0,0.2422680412371134,0.01,-0.01,20.43733333,0.659333333,-0.665882353
3148,3149,NGC 2682 YBP 401 b,Radial Velocity,1,5.474375013227431e-07,0.006999999999999999,-0.006999999999999999,08h51m19.05s,132.82936,+11d40m15.7s,11.67102,0.32680459326404443,933.3333332999998,-1366.666667,0.6658031088082901,V (Johnson),6165.0,64.0,-64.0,0.288659793814433,0.02,-0.02,19.756,0.639,-0.648823529
3149,3150,NGC 4349 127 b,Radial Velocity,1,9.283689070286164e-05,6.2,-6.2,12h24m35.47s,186.14781100000002,-61d49m12.0s,-61.820004000000004,0.2585435205530559,866.6666667000002,-1233.333333,0.5196891191709845,V (Johnson),31582.5,65.33333333,-64.35483871,1.0,0.3,-0.3,19.07466667,0.6186666670000001,-0.631764706
