row_id,pl_name,pl_discmethod,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,ra_str,ra,dec_str,dec,st_dist,st_disterr1,st_disterr2,st_optmag,st_optband,st_teff,st_tefferr1,st_tefferr2,st_mass,st_masserr1,st_masserr2,st_rad,st_raderr1,st_raderr2
1033,Kepler-1145 b,Transit,1,3.97076766,1.11E-05,-1.11E-05,19h41m13.96s,295.308161,+43d02m39.9s,43.044415,714,53.37,-53.09,15.443,Kepler-band,5064,161.02,-117.37,0.79,0.05,-0.05,0.75,0.05,-0.05
1034,Kepler-1146 b,Transit,1,2.3522658,8.25E-06,-8.25E-06,19h06m51.99s,286.716626,+47d25m32.3s,47.425633,694,26.74,-42.13,15.848,Kepler-band,4692,45.94,-42.25,0.74,0.03,-0.04,0.7,0.02,-0.04
1035,Kepler-1147 b,Transit,1,10.62784997,9.12E-05,-9.12E-05,19h30m11.41s,292.547537,+41d38m34.6s,41.642956,1476,452.64,-176.42,15.401,Kepler-band,5941,84.81,-114.44,1.09,0.09,-0.06,1.14,0.35,-0.13
1036,Kepler-1148 b,Transit,1,1.10446351,1.29E-06,-1.29E-06,19h23m48.85s,290.953557,+45d43m10.3s,45.719536,682,38.36,-38.56,15.277,Kepler-band,5054,99.64,-98.31,0.81,0.04,-0.04,0.77,0.04,-0.04
1037,Kepler-1149 b,Transit,1,3.73089898,1.50E-05,-1.50E-05,19h36m45.42s,294.18926,+45d09m05.7s,45.151577,1023,190.7,-111.23,14.966,Kepler-band,5833,117.2,-177.03,1.02,0.07,-0.07,1.01,0.18,-0.1
1038,Kepler-115 b,Transit,2,2.403679,1.20E-05,-1.20E-05,19h50m50.84s,297.711849,+45d15m42.9s,45.261925,806.3333333,132.6033333,-80.24333333,13.431,Kepler-band,5979,132,-132,1,0.056666667,-0.06,1.21,0.23,-0.23
1039,Kepler-115 c,Transit,2,8.990889,2.10E-05,-2.10E-05,19h50m50.84s,297.711849,+45d15m42.9s,45.261925,589.6666667,74.50666667,-49.25666667,13.431,Kepler-band,5979,132,-132,1,0.043333333,-0.05,1.21,0.23,-0.23
1040,Kepler-1150 b,Transit,1,2.78786839,8.26E-06,-8.26E-06,19h46m53.88s,296.724492,+49d31m57.8s,49.532715,373,16.41,-18.27,14.435,Kepler-band,4754,80.38,-77.33,0.76,0.03,-0.04,0.72,0.03,-0.03
1041,Kepler-1151 b,Transit,1,65.6478424,0.000401,-0.000401,19h28m59.47s,292.247793,+47d52m42.4s,47.878452,763,76.61,-59.72,14.872,Kepler-band,5470,97.19,-93.64,0.88,0.05,-0.06,0.85,0.08,-0.06
1042,Kepler-1152 b,Transit,1,1.64680191,2.67E-06,-2.67E-06,19h21m44.17s,290.434033,+44d06m27.5s,44.107651,184,14.69,-12.88,14.634,Kepler-band,3964,46.47,-45.68,0.55,0.04,-0.03,0.53,0.03,-0.03
1043,Kepler-1153 b,Transit,1,1.75583533,4.39E-06,-4.39E-06,19h16m35.33s,289.147217,+45d51m58.2s,45.866181,1185,131.56,-77.17,15.758,Kepler-band,5470,75.2,-93.55,0.91,0.04,-0.04,0.88,0.1,-0.05
1044,Kepler-1154 b,Transit,2,5.1856142,2.68E-05,-2.68E-05,19h49m54.51s,297.477127,+39d52m38.1s,39.877247,1531,690.96,-336.46,14.806,Kepler-band,6327,317.3,-262.85,1.26,0.25,-0.16,1.43,0.65,-0.29
1045,Kepler-1154 c,Transit,2,8.45808312,4.76E-05,-4.76E-05,19h49m54.51s,297.477127,+39d52m38.1s,39.877247,1531,690.96,-336.46,14.806,Kepler-band,6327,317.3,-262.85,1.26,0.25,-0.16,1.43,0.65,-0.29
1046,Kepler-1155 b,Transit,1,33.469743,0.0002003,-0.0002003,19h15m16.94s,288.820587,+39d31m22.2s,39.522827,987,210.08,-106.9,14.74,Kepler-band,5842,115.89,-141.61,1.03,0.07,-0.06,1.03,0.22,-0.1
1047,Kepler-1156 b,Transit,1,11.89520511,6.50E-05,-6.50E-05,19h15m41.77s,288.924024,+46d03m27.5s,46.057632,759,70.51,-48.89,14.152,Kepler-band,5778,67.42,-59.01,1,0.03,-0.04,1,0.09,-0.06
1048,Kepler-1157 b,Transit,1,4.45743164,1.70E-05,-1.70E-05,18h52m29.05s,283.121049,+43d31m32.3s,43.525642,346,14.35,-15.67,14.374,Kepler-band,4679,54.66,-58.05,0.76,0.03,-0.04,0.71,0.03,-0.03
1049,Kepler-1158 b,Transit,1,13.5396293,9.33E-05,-9.33E-05,19h28m56.15s,292.233946,+41d34m30.8s,41.575213,1258,238.25,-242.69,13.628,Kepler-band,6203,91.16,-81.11,1.41,0.13,-0.13,1.95,0.37,-0.38
1050,Kepler-1159 b,Transit,1,22.70816791,9.54E-05,-9.54E-05,19h37m03.92s,294.266335,+45d12m15.5s,45.204315,1238,516.67,-206.73,14.574,Kepler-band,6217,147.74,-196.66,1.19,0.17,-0.11,1.28,0.56,-0.2
1051,Kepler-116 b,Transit,2,5.968734,9.00E-06,-9.00E-06,19h38m58.10s,294.74207,+43d32m12.6s,43.536835,1256.333333,397.6,-165.7833333,13.717,Kepler-band,6142,100,-100,1.16,0.126666667,-0.086666667,1.45,0.27,-0.27
1052,Kepler-116 c,Transit,2,13.07163,5.60E-05,-5.60E-05,19h38m58.10s,294.74207,+43d32m12.6s,43.536835,1274.666667,278.53,-124.8366667,13.717,Kepler-band,6142,100,-100,1.16,0.083333333,-0.063333333,1.45,0.27,-0.27
1053,Kepler-1160 b,Transit,1,7.97034958,3.12E-05,-3.12E-05,19h11m31.05s,287.879384,+43d21m50.7s,43.364075,1293,159.46,-83.89,15.833,Kepler-band,5519,61.23,-63.44,0.92,0.04,-0.04,0.89,0.11,-0.05
1054,Kepler-1161 b,Transit,1,10.71252541,3.88E-05,-3.88E-05,19h56m18.50s,299.077103,+45d26m26.3s,45.44064,428,24.95,-29.91,15.813,Kepler-band,4253,55.15,-52.76,0.59,0.03,-0.04,0.57,0.03,-0.03
1055,Kepler-1162 b,Transit,1,32.5637069,0.0002472,-0.0002472,18h53m10.11s,283.29213,+45d26m02.8s,45.434116,989,89.1,-58.26,15.48,Kepler-band,5390,61.74,-58.89,0.89,0.04,-0.04,0.84,0.07,-0.05
1056,Kepler-1163 b,Transit,1,6.11786898,2.81E-05,-2.81E-05,19h20m56.60s,290.235843,+50d01m48.3s,50.030087,487,80.62,-49.1,12.168,Kepler-band,6302,69.67,-63.95,1.22,0.07,-0.05,1.35,0.23,-0.13
1057,Kepler-1164 b,Transit,1,3.97599768,1.09E-05,-1.09E-05,19h10m07.11s,287.529634,+38d53m40.2s,38.894513,447,14.44,-15.12,14.11,Kepler-band,5183,80.28,-63.78,0.85,0.03,-0.04,0.79,0.02,-0.02
1058,Kepler-1165 b,Transit,1,9.478522,5.91E-05,-5.91E-05,19h07m53.10s,286.971267,+44d42m29.9s,44.708302,1081,357.39,-136.44,14.456,Kepler-band,6080,97.21,-115.97,1.13,0.12,-0.08,1.18,0.39,-0.14
1059,Kepler-1166 b,Transit,1,33.2406882,0.00028,-0.00028,19h21m23.64s,290.348519,+50d54m10.3s,50.902855,648,77.92,-46.84,14.477,Kepler-band,5446,83.15,-87.62,0.9,0.04,-0.05,0.86,0.1,-0.06
1060,Kepler-1167 b,Transit,1,1.00393374,2.68E-06,-2.68E-06,19h53m12.65s,298.302714,+47d41m38.5s,47.694023,811,46.83,-53.51,15.942,Kepler-band,4971,96.57,-125.1,0.79,0.04,-0.05,0.75,0.04,-0.04
1061,Kepler-1168 b,Transit,1,55.8226539,0.0003871,-0.0003871,19h09m11.45s,287.297694,+47d27m19.6s,47.455437,911,53.53,-41.6,15.624,Kepler-band,5157,47.04,-55.91,0.87,0.04,-0.04,0.82,0.04,-0.04
1062,Kepler-1169 b,Transit,1,6.11009134,2.81E-05,-2.81E-05,19h39m38.78s,294.911573,+46d29m29.3s,46.491463,538,27.31,-25.34,12.716,Kepler-band,6191,80.54,-76.47,1.24,0.04,-0.04,1.23,0.06,-0.05
1063,Kepler-117 b,Transit,2,18.7959228,7.50E-06,-7.50E-06,19h15m10.33s,288.793037,+48d02m24.8s,48.040234,1430,50,-50,14.274,Kepler-band,6150,110,-110,1.13,0.13,-0.02,1.61,0.05,-0.05
1064,Kepler-117 c,Transit,2,50.790391,1.40E-05,-1.40E-05,19h15m10.33s,288.793037,+48d02m24.8s,48.040234,1430,50,-50,14.274,Kepler-band,6150,110,-110,1.13,0.13,-0.02,1.61,0.05,-0.05
1065,Kepler-1170 b,Transit,1,9.98969327,4.24E-05,-4.24E-05,19h28m40.46s,292.16858,+43d46m46.8s,43.779675,911,63.34,-63.01,15.909,Kepler-band,5069,120.38,-96.5,0.8,0.04,-0.05,0.76,0.05,-0.05
1066,Kepler-1171 b,Transit,1,1.44259224,2.19E-06,-2.19E-06,19h39m50.14s,294.958925,+38d35m29.7s,38.591578,615,161.65,-122.04,11.558,Kepler-band,7044,277.69,-199.09,1.58,0.18,-0.17,1.95,0.51,-0.38
1067,Kepler-1172 b,Transit,1,26.0204423,0.0001886,-0.0001886,19h21m53.88s,290.474507,+37d45m59.8s,37.766598,1292,161.33,-111.76,15.889,Kepler-band,5558,144.94,-137.66,0.92,0.06,-0.06,0.89,0.11,-0.07
1068,Kepler-1173 b,Transit,1,0.7698536,1.20E-06,-1.20E-06,19h32m31.46s,293.131095,+45d39m48.8s,45.663548,402,30.79,-23.46,13.829,Kepler-band,5252,92.48,-116.76,0.86,0.04,-0.05,0.82,0.06,-0.04
1069,Kepler-1174 b,Transit,1,6.89225223,2.66E-05,-2.66E-05,18h47m19.55s,281.831445,+42d17m56.1s,42.298916,829,160.61,-82.44,14.207,Kepler-band,5936,117.34,-103.81,1.04,0.07,-0.07,1.04,0.2,-0.1
1070,Kepler-1175 b,Transit,1,37.94563,0.0001732,-0.0001732,19h16m34.25s,289.142702,+46d48m46.4s,46.812897,1244,105.2,-90.11,15.939,Kepler-band,5453,66.21,-80.38,0.9,0.04,-0.05,0.86,0.07,-0.06
1071,Kepler-1176 b,Transit,1,24.1738579,0.0001336,-0.0001336,19h51m40.73s,297.919728,+45d16m27.0s,45.274162,1023,263.28,-139.95,15.056,Kepler-band,5844,264.61,-268.56,1.01,0.11,-0.08,1.02,0.26,-0.13
1072,Kepler-1177 b,Transit,1,106.247547,0.001822,-0.001822,19h06m41.14s,286.671437,+49d24m22.6s,49.406288,829,63.8,-45.66,14.552,Kepler-band,5712,62.98,-66.68,0.98,0.03,-0.04,0.97,0.07,-0.05
1073,Kepler-1178 b,Transit,1,31.80634,0.0003857,-0.0003857,19h13m49.45s,288.456062,+45d48m07.6s,45.802124,336,16.88,-19.94,13.831,Kepler-band,4990,58.43,-68.54,0.8,0.04,-0.04,0.75,0.03,-0.04
1074,Kepler-1179 b,Transit,1,2.68505749,4.10E-06,-4.10E-06,18h56m23.43s,284.09764,+47d48m38.3s,47.810638,454,28.58,-26.79,14.077,Kepler-band,5212,65.46,-65.67,0.84,0.04,-0.05,0.81,0.05,-0.04
1075,Kepler-118 b,Transit,2,7.518496,5.60E-05,-5.60E-05,19h56m51.16s,299.213164,+41d25m29.4s,41.424824,730.6666667,142.3966667,-77.62,14.711,Kepler-band,5274,200,-200,0.86,0.08,-0.063333333,1.09,0.49,-0.49
1076,Kepler-118 c,Transit,2,20.17202,1.30E-05,-1.30E-05,19h56m51.16s,299.213164,+41d25m29.4s,41.424824,1007.333333,256.2133333,-128.45,14.711,Kepler-band,5274,200,-200,0.86,0.12,-0.076666667,1.09,0.49,-0.49
1077,Kepler-1180 b,Transit,1,16.8601286,0.0001369,-0.0001369,19h43m33.00s,295.88751,+43d09m21.8s,43.156063,1284,370.03,-179.28,14.989,Kepler-band,6077,243.54,-226.98,1.09,0.16,-0.09,1.14,0.31,-0.15
1078,Kepler-1181 b,Transit,1,4.89337519,2.53E-05,-2.53E-05,19h18m59.36s,289.747314,+39d31m24.5s,39.523468,867,349.46,-141.95,13.827,Kepler-band,6176,82.26,-87.31,1.17,0.17,-0.1,1.3,0.54,-0.21
1079,Kepler-1182 b,Transit,1,11.17394617,6.28E-05,-6.28E-05,19h45m13.91s,296.307949,+43d49m16.9s,43.82135,1258,321.54,-168.43,15.356,Kepler-band,5924,202.44,-241.8,1.04,0.11,-0.09,1.05,0.26,-0.13
1080,Kepler-1183 b,Transit,1,28.5057189,0.0003031,-0.0003031,19h28m55.78s,292.232425,+38d53m32.0s,38.892222,1378,250.12,-149.3,15.778,Kepler-band,5765,121.54,-176.4,1,0.06,-0.07,0.99,0.18,-0.1
1081,Kepler-1184 b,Transit,1,53.5991044,0.0003674,-0.0003674,19h25m07.69s,291.282055,+46d57m57.6s,46.965996,1193,223.61,-126.19,14.953,Kepler-band,5983,110.01,-118.73,1.05,0.07,-0.07,1.07,0.2,-0.11
1082,Kepler-1185 b,Transit,1,104.3518976,0.0006705,-0.0006705,19h08m57.88s,287.241174,+39d19m57.9s,39.332757,296,7.66,-7.23,12.57,Kepler-band,5622,67.7,-58.78,0.96,0.02,-0.02,0.87,0.02,-0.02
1083,Kepler-1186 b,Transit,1,16.07677615,7.20E-05,-7.20E-05,19h13m55.11s,288.479641,+47d06m06.4s,47.101768,1112,176.25,-82.2,15.306,Kepler-band,5635,68.42,-72.34,0.95,0.04,-0.05,0.93,0.15,-0.06
1084,Kepler-1187 b,Transit,1,18.87064068,6.00E-05,-6.00E-05,19h07m34.08s,286.892005,+38d19m06.8s,38.318556,1029,198.53,-117.21,14.562,Kepler-band,5975,182.7,-129.11,1.06,0.09,-0.07,1.09,0.21,-0.12
1085,Kepler-1188 b,Transit,1,17.1369543,0.0001214,-0.0001214,18h52m24.92s,283.103838,+43d08m53.0s,43.148045,1202,283.49,-125.26,15.004,Kepler-band,5913,104.3,-106.82,1.04,0.07,-0.07,1.06,0.25,-0.1
1086,Kepler-1189 b,Transit,1,3.78858982,2.27E-05,-2.27E-05,19h53m42.32s,298.426343,+47d56m48.4s,47.946785,883,257.83,-123.03,14.285,Kepler-band,6012,121.95,-184.74,1.11,0.1,-0.08,1.16,0.34,-0.15
1087,Kepler-119 b,Transit,2,2.422082,1.00E-06,-1.00E-06,19h43m47.14s,295.946421,+42d39m32.1s,42.658924,716.6666667,176.76,-88.51666667,14.236,Kepler-band,5595,200,-200,0.993333333,0.076666667,-0.066666667,0.84,0.32,-0.32
1088,Kepler-119 c,Transit,2,4.125103,2.80E-05,-2.80E-05,19h43m47.14s,295.946421,+42d39m32.1s,42.658924,550.3333333,95.69,-54.00333333,14.236,Kepler-band,5595,200,-200,0.876666667,0.053333333,-0.053333333,0.84,0.32,-0.32
1089,Kepler-1190 b,Transit,1,10.45843441,5.28E-05,-5.28E-05,18h59m59.91s,284.999621,+49d28m47.9s,49.479977,384,14.62,-19.49,14.471,Kepler-band,4730,39.96,-39.65,0.76,0.03,-0.04,0.72,0.02,-0.04
1090,Kepler-1191 b,Transit,1,5.60014851,1.91E-05,-1.91E-05,19h26m37.87s,291.657776,+48d00m33.5s,48.009315,876,70.68,-65.65,15.378,Kepler-band,5308,107.78,-83.33,0.85,0.05,-0.05,0.81,0.06,-0.06
1091,Kepler-1192 b,Transit,1,25.2034787,0.0001278,-0.0001278,18h48m33.74s,282.140566,+43d53m47.7s,43.89658,1108,105.34,-101.4,15.684,Kepler-band,5438,67.15,-57.17,0.86,0.05,-0.07,0.83,0.08,-0.07
1092,Kepler-1193 b,Transit,1,2.83265213,9.03E-06,-9.03E-06,19h12m34.74s,288.144759,+51d16m32.3s,51.275627,695,106.86,-84.07,13.467,Kepler-band,5908,75.02,-61.06,1.08,0.06,-0.04,1.21,0.19,-0.15
1093,Kepler-1194 b,Transit,1,16.22371307,8.87E-05,-8.87E-05,19h26m47.89s,291.699538,+38d08m43.0s,38.145265,616,41.34,-33.73,14.129,Kepler-band,5590,97.14,-79.79,0.94,0.04,-0.04,0.92,0.06,-0.05
1094,Kepler-1195 b,Transit,1,8.49642241,2.87E-05,-2.87E-05,18h57m24.26s,284.351087,+40d51m10.7s,40.852979,812,62.81,-68.99,15.888,Kepler-band,4965,111.27,-80.25,0.74,0.05,-0.06,0.71,0.05,-0.06
1095,Kepler-1196 b,Transit,1,66.1849031,0.0004661,-0.0004661,19h29m28.69s,292.369561,+43d54m38.9s,43.910809,946,148.16,-90.75,14.862,Kepler-band,5756,129.38,-149.1,0.98,0.06,-0.06,0.97,0.15,-0.09
1096,Kepler-1197 b,Transit,1,2.03231845,3.75E-06,-3.75E-06,19h26m40.63s,291.669272,+42d35m26.6s,42.59071,505,11.48,-11.79,15.13,Kepler-band,4708,63.31,-50.89,0.78,0.02,-0.03,0.72,0.01,-0.01
1097,Kepler-1198 b,Transit,1,7.6847716,3.25E-05,-3.25E-05,19h15m20.16s,288.834008,+44d50m17.7s,44.838249,777,83.72,-52.11,14.776,Kepler-band,5517,80.26,-98.45,0.93,0.04,-0.05,0.9,0.1,-0.06
1098,Kepler-1199 b,Transit,1,15.0447198,0.0001084,-0.0001084,19h34m54.21s,293.725872,+47d14m49.4s,47.247044,540,94.71,-74.19,13.037,Kepler-band,5889,84.29,-64.89,0.94,0.1,-0.06,1.17,0.21,-0.16
1099,Kepler-12 b,Transit,1,4.4379629,6.00E-07,-6.00E-07,19h04m58.42s,286.243425,+50d02m25.4s,50.040382,600,78.4,-64.085,13.8,V (Johnson),5947,100,-100,1.17,0.05,-0.05,1.48,0.03,-0.03
1100,Kepler-120 b,Transit,2,6.312501,8.00E-06,-8.00E-06,19h11m33.99s,287.891632,+39d20m20.8s,39.339124,593,62.09,-53.98,14.735,Kepler-band,4096,150,-150,1.026666667,0.046666667,-0.05,0.53,0.03,-0.03
1101,Kepler-120 c,Transit,2,12.794585,4.40E-05,-4.40E-05,19h11m33.99s,287.891632,+39d20m20.8s,39.339124,586,45.78,-43.875,14.735,Kepler-band,4096,150,-150,0.883333333,0.043333333,-0.05,0.53,0.03,-0.03
1102,Kepler-1200 b,Transit,1,1.11854972,3.12E-06,-3.12E-06,19h46m24.83s,296.603451,+44d07m45.3s,44.129257,579,29.47,-33.77,15.793,Kepler-band,4612,101.02,-139.97,0.74,0.04,-0.05,0.7,0.03,-0.04
1103,Kepler-1201 b,Transit,1,15.18725932,8.16E-05,-8.16E-05,19h38m27.56s,294.614827,+40d49m59.4s,40.833172,1202,446.55,-198.93,14.724,Kepler-band,6177,146.3,-232.29,1.15,0.17,-0.11,1.24,0.46,-0.19
1104,Kepler-1202 b,Transit,1,28.6851324,0.0001899,-0.0001899,19h29m09.75s,292.290612,+44d39m11.7s,44.653255,1393,294.5,-144.28,15.658,Kepler-band,5834,80.98,-131.48,1.03,0.06,-0.06,1.04,0.22,-0.1
1105,Kepler-1203 b,Transit,1,0.58800076,5.80E-07,-5.80E-07,19h31m05.61s,292.773384,+44d10m41.3s,44.178127,269,10.27,-10.85,14.934,Kepler-band,4105,43.7,-35.84,0.64,0.02,-0.02,0.61,0.01,-0.02
1106,Kepler-1204 b,Transit,1,85.7350285,0.0006373,-0.0006373,19h17m45.96s,289.441483,+42d29m53.3s,42.498135,1282,354.85,-129.65,15.301,Kepler-band,5825,88.38,-121.08,1.03,0.06,-0.06,1.03,0.29,-0.1
1107,Kepler-1205 b,Transit,1,1.07839035,1.60E-06,-1.60E-06,19h21m07.13s,290.279709,+41d30m54.2s,41.515049,766,50.16,-48.14,15.143,Kepler-band,5226,84.83,-71.27,0.84,0.04,-0.05,0.81,0.05,-0.05
1108,Kepler-1206 b,Transit,1,1.21699766,2.61E-06,-2.61E-06,19h43m45.22s,295.938407,+49d47m28.1s,49.791145,807,33.26,-33.8,15.975,Kepler-band,4877,55.23,-79.61,0.8,0.03,-0.04,0.75,0.03,-0.03
1109,Kepler-1207 b,Transit,1,13.68237119,8.99E-05,-8.99E-05,19h40m15.42s,295.064243,+49d21m32.4s,49.358994,946,197.37,-91.7,14.5,Kepler-band,5909,88.29,-99.94,1.06,0.06,-0.06,1.06,0.23,-0.1
1110,Kepler-1208 b,Transit,1,11.08507637,5.24E-05,-5.24E-05,19h27m31.50s,291.881263,+44d33m20.6s,44.555729,877,52.25,-54.11,15.938,Kepler-band,5001,110.88,-108.59,0.8,0.04,-0.04,0.76,0.04,-0.04
1111,Kepler-1209 b,Transit,1,25.369116,0.0001249,-0.0001249,19h10m20.37s,287.584891,+49d09m17.3s,49.154793,558,114.09,-64.6,12.476,Kepler-band,6210,71.25,-59.14,1.23,0.09,-0.05,1.38,0.29,-0.16
1112,Kepler-121 b,Transit,2,3.177422,3.00E-06,-3.00E-06,19h04m38.90s,286.162064,+39d40m40.8s,39.677995,757,140.1166667,-72.21666667,14.708,Kepler-band,5311,200,-200,1.133333333,0.073333333,-0.05,0.7,0.38,-0.38
1113,Kepler-121 c,Transit,2,41.008011,0.000191,-0.000191,19h04m38.90s,286.162064,+39d40m40.8s,39.677995,956,166.1433333,-79.83333333,14.708,Kepler-band,5311,200,-200,1.036666667,0.056666667,-0.05,0.7,0.38,-0.38
1114,Kepler-1210 b,Transit,1,8.07124073,4.90E-05,-4.90E-05,19h31m19.71s,292.832145,+48d13m09.7s,48.219357,1155,192.17,-87.45,15.553,Kepler-band,5568,67.19,-91.62,0.94,0.04,-0.05,0.92,0.16,-0.07
1115,Kepler-1211 b,Transit,1,11.01816836,7.98E-05,-7.98E-05,19h02m52.99s,285.720788,+40d51m25.1s,40.856961,1486,212.57,-132.28,15.832,Kepler-band,5705,123.21,-77.68,0.96,0.06,-0.07,0.94,0.13,-0.08
1116,Kepler-1212 b,Transit,1,12.94130146,7.91E-05,-7.91E-05,19h47m24.82s,296.853432,+50d02m14.5s,50.037354,1304,347.42,-168.65,15.012,Kepler-band,6051,144.84,-180.6,1.1,0.11,-0.08,1.15,0.31,-0.14
1117,Kepler-1213 b,Transit,1,5.34982412,2.66E-05,-2.66E-05,19h17m56.60s,289.485822,+50d56m39.0s,50.944164,685,71.29,-53.6,13.386,Kepler-band,6050,74.56,-81.73,1.14,0.04,-0.04,1.21,0.13,-0.09
1118,Kepler-1214 b,Transit,1,18.82634264,8.78E-05,-8.78E-05,19h00m34.23s,285.142638,+49d48m02.4s,49.800667,757,42.52,-33.59,15.279,Kepler-band,5130,48.18,-47.96,0.85,0.03,-0.04,0.8,0.04,-0.03
1119,Kepler-1215 b,Transit,1,4.76703963,2.30E-05,-2.30E-05,19h49m51.27s,297.463622,+48d10m53.1s,48.181416,701,101.86,-57.11,14.431,Kepler-band,5616,92.62,-130.14,0.95,0.04,-0.05,0.93,0.13,-0.07
1120,Kepler-1216 b,Transit,1,4.37034536,1.99E-05,-1.99E-05,19h09m37.28s,287.405321,+45d55m04.8s,45.918007,1124,168.77,-89.87,15.133,Kepler-band,5743,73.65,-77.97,0.99,0.04,-0.05,0.98,0.15,-0.07
1121,Kepler-1217 b,Transit,1,2.03232507,6.46E-06,-6.46E-06,19h16m44.80s,289.186676,+50d56m15.2s,50.937557,1363,318.22,-134.6,15.298,Kepler-band,5905,82.88,-103.67,1.06,0.07,-0.06,1.08,0.26,-0.1
1122,Kepler-1218 b,Transit,1,22.9221266,0.0002337,-0.0002337,19h26m18.96s,291.578982,+44d31m54.2s,44.531715,667,70.4,-52.71,13.578,Kepler-band,5986,91.33,-76.59,1.06,0.05,-0.05,1.1,0.11,-0.09
1123,Kepler-1219 b,Transit,1,16.10467749,8.83E-05,-8.83E-05,19h48m51.79s,297.215809,+47d22m42.7s,47.378515,622,162.03,-128.74,12.249,Kepler-band,5944,91.26,-81.66,1.25,0.14,-0.12,1.94,0.5,-0.4
1124,Kepler-122 b,Transit,5,5.766193,1.60E-05,-1.60E-05,19h24m26.85s,291.111883,+39d56m56.8s,39.949104,678,171.2933333,-128.8466667,14.247,Kepler-band,6050,137,-137,0.99,0.136666667,-0.113333333,1.22,0.24,-0.24
1125,Kepler-122 c,Transit,5,12.465988,9.00E-06,-9.00E-06,19h24m26.85s,291.111883,+39d56m56.8s,39.949104,734,180.5566667,-128.9533333,14.247,Kepler-band,6050,137,-137,0.99,0.133333333,-0.106666667,1.22,0.24,-0.24
1126,Kepler-122 d,Transit,5,21.587475,0.000164,-0.000164,19h24m26.85s,291.111883,+39d56m56.8s,39.949104,790,189.82,-129.06,14.247,Kepler-band,6050,137,-137,0.99,0.13,-0.1,1.22,0.24,-0.24
1127,Kepler-122 e,Transit,5,37.993273,0.00039,-0.00039,19h24m26.85s,291.111883,+39d56m56.8s,39.949104,846,199.0833333,-129.1666667,14.247,Kepler-band,6050,137,-137,0.99,0.126666667,-0.093333333,1.22,0.24,-0.24
1128,Kepler-122 f,Transit Timing Variations,5,56.268,0.000215935,-0.000215935,19h24m26.85s,291.111883,+39d56m56.8s,39.949104,902,208.3466667,-129.2733333,14.247,Kepler-band,6050,137,-137,0.99,0.123333333,-0.086666667,1.22,0.24,-0.24
1129,Kepler-1220 b,Transit,1,7.42693741,4.19E-05,-4.19E-05,19h48m16.89s,297.070369,+42d58m39.9s,42.977741,958,217.61,-129.38,14.985,Kepler-band,5842,246.43,-266.34,1,0.12,-0.08,0.99,0.21,-0.12
1130,Kepler-1221 b,Transit,1,12.00096042,5.76E-05,-5.76E-05,19h03m17.36s,285.822349,+45d42m42.8s,45.711891,909,55.17,-42.48,15.563,Kepler-band,5194,45.8,-51.51,0.87,0.04,-0.04,0.82,0.05,-0.03
1131,Kepler-1222 b,Transit,1,1.91694425,6.11E-06,-6.11E-06,19h39m33.52s,294.889655,+49d22m47.2s,49.379768,455,28.81,-29.08,14.1,Kepler-band,5239,71,-82.33,0.84,0.04,-0.05,0.8,0.05,-0.05
1132,Kepler-1223 b,Transit,1,16.301259,0.000103,-0.000103,19h01m10.98s,285.29575,+44d33m09.9s,44.552753,455,19.39,-20.57,14.61,Kepler-band,4870,49.87,-52.19,0.8,0.03,-0.04,0.75,0.03,-0.03
1133,Kepler-1224 b,Transit,1,13.32351601,7.28E-05,-7.28E-05,19h06m30.18s,286.625763,+37d32m14.3s,37.537304,578,45.18,-33.5,12.867,Kepler-band,6155,64.75,-56.71,1.18,0.04,-0.03,1.22,0.1,-0.07
1134,Kepler-1225 b,Transit,1,7.01075434,2.75E-05,-2.75E-05,19h22m31.99s,290.633291,+40d08m13.2s,40.136994,1241,407.27,-170.85,14.689,Kepler-band,6140,133.4,-147.7,1.13,0.14,-0.09,1.19,0.4,-0.15
1135,Kepler-1226 b,Transit,1,17.2923453,0.0001187,-0.0001187,19h45m30.46s,296.376909,+50d37m17.3s,50.621468,779,136.72,-84.36,14.15,Kepler-band,5923,147.56,-124.19,1.02,0.08,-0.07,1.02,0.18,-0.1
1136,Kepler-1227 b,Transit,1,94.2887577,0.0005873,-0.0005873,19h08m15.93s,287.066378,+41d52m29.7s,41.874908,667,106.13,-62.96,14.183,Kepler-band,5747,108.41,-151.11,0.97,0.06,-0.07,0.95,0.15,-0.08
1137,Kepler-1228 b,Transit,1,0.57736958,4.10E-07,-4.10E-07,19h46m12.74s,296.553083,+46d57m58.6s,46.96629,547,38.98,-52.8,14.859,Kepler-band,5063,94.76,-81.19,0.78,0.05,-0.06,0.74,0.05,-0.07
1138,Kepler-1229 b,Transit,1,86.828989,0.001069,-0.001069,19h49m56.81s,297.486691,+46d59m48.2s,46.996716,236,16.13,-19.81,15.474,Kepler-band,3784,38.88,-38.61,0.54,0.03,-0.04,0.51,0.03,-0.03
1139,Kepler-123 b,Transit,2,17.232366,5.60E-05,-5.60E-05,19h47m59.67s,296.998621,+42d46m55.0s,42.781956,635,97.36,-62.15666667,14.061,Kepler-band,6089,121,-121,1.03,0.046666667,-0.046666667,1.26,0.24,-0.24
