row_id,pl_hostname,pl_letter,pl_discmethod,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,ra_str,ra,dec_str,dec,st_dist,st_disterr1,st_disterr2,st_optmag,st_optband,st_teff,st_tefferr1,st_tefferr2,st_mass,st_masserr1,st_masserr2,st_rad,st_raderr1,st_raderr2
1443,Kepler-1463,b,Transit,1,3.43E-06,0.0005123,-0.0005123,19h37m56.95s,294.487304,+42d00m24.9s,42.00692,0.157446518,229.49,-124.82,0.772487047,Kepler-band,5679,93.91,-125.8,0.242268041,0.05,-0.06,0.95,0.16,-0.08
1444,Kepler-1464,b,Transit,2,4.34E-06,0.0002734,-0.0002734,19h08m56.56s,287.235677,+38d45m15.0s,38.754161,0.081064732,118.93,-68.73,0.689585492,Kepler-band,5828,112.18,-169.63,0.257731959,0.06,-0.06,1.01,0.17,-0.09
1445,Kepler-1464,c,Transit,2,7.17E-07,5.39E-05,-5.39E-05,19h08m56.56s,287.235677,+38d45m15.0s,38.754161,0.081064732,118.93,-68.73,0.689585492,Kepler-band,5828,112.18,-169.63,0.257731959,0.06,-0.06,1.01,0.17,-0.09
1446,Kepler-1465,b,Transit,1,4.35E-06,0.0001219,-0.0001219,19h19m16.64s,289.819341,+51d54m17.5s,51.90485,0.040814237,15.94,-21.93,0.702590674,Kepler-band,4726,60.73,-75.37,0.18814433,0.04,-0.05,0.71,0.03,-0.04
1447,Kepler-1466,b,Transit,1,4.26E-06,0.0002157,-0.0002157,19h19m19.49s,289.831222,+44d36m35.5s,44.609863,0.080358582,120.77,-75.59,0.677512953,Kepler-band,5884,144.58,-128.07,0.255154639,0.07,-0.07,1.02,0.17,-0.1
1448,Kepler-1467,b,Transit,1,6.43E-06,0.0001835,-0.0001835,19h40m11.65s,295.04854,+45d20m33.7s,45.342686,0.104367649,88.85,-71.04,0.761606218,Kepler-band,5332,179.19,-173.73,0.216494845,0.06,-0.06,0.82,0.07,-0.06
1449,Kepler-1468,b,Transit,2,1.12E-06,3.99E-05,-3.99E-05,19h34m04.76s,293.519844,+41d16m38.7s,41.277405,0.132613611,198.65,-132.75,0.734404145,Kepler-band,5893,162.9,-197.95,0.262886598,0.08,-0.07,1.05,0.18,-0.11
1450,Kepler-1468,c,Transit,2,4.73E-07,2.27E-05,-2.27E-05,19h34m04.76s,293.519844,+41d16m38.7s,41.277405,0.132613611,198.65,-132.75,0.734404145,Kepler-band,5893,162.9,-197.95,0.262886598,0.08,-0.07,1.05,0.18,-0.11
1451,Kepler-1469,b,Transit,1,2.98E-06,0.0001219,-0.0001219,19h35m17.13s,293.821357,+39d23m28.9s,39.39135,0.147325049,166.57,-101.4,0.783160622,Kepler-band,5507,128.4,-170.81,0.231958763,0.05,-0.05,0.89,0.12,-0.06
1452,Kepler-147,b,Transit,2,1.72E-06,0.000228,-0.000228,19h11m54.18s,287.975766,+39d05m13.9s,39.087181,0.120412925,119.9933333,-77.57,0.678963731,Kepler-band,6012,100,-100,0.255154639,0.046666667,-0.046666667,1.47,0.29,-0.29
1453,Kepler-147,c,Transit,2,4.57E-06,0.000416,-0.000416,19h11m54.18s,287.975766,+39d05m13.9s,39.087181,0.093500801,73.41666667,-53.74,0.678963731,Kepler-band,6012,100,-100,0.255154639,0.043333333,-0.043333333,1.47,0.29,-0.29
1454,Kepler-1470,b,Transit,1,2.22E-06,0.0001916,-0.0001916,19h14m46.80s,288.695007,+39d52m59.5s,39.883191,0.066588676,26.84,-29.91,0.736321244,Kepler-band,4961,84.41,-94.64,0.201030928,0.04,-0.04,0.76,0.03,-0.04
1455,Kepler-1471,b,Transit,1,4.86E-07,2.00E-05,-2.00E-05,19h18m39.57s,289.664878,+50d01m12.2s,50.020046,0.124257514,157.75,-84.73,0.746321244,Kepler-band,5660,86.53,-104.98,0.239690722,0.05,-0.06,0.93,0.14,-0.07
1456,Kepler-1472,b,Transit,1,5.21E-06,0.0005755,-0.0005755,19h39m24.64s,294.852648,+49d03m26.9s,49.057472,0.14897273,507,-190.51,0.714145078,Kepler-band,6159,92.7,-114.64,0.293814433,0.16,-0.09,1.25,0.5,-0.18
